Company,Title,Price,Volume,High,Low
Allstate 5.100% Deb. 2053,ALL.PB,26.71,"116,564",26.83,26.45
Allstate Pfd. E,ALL.PE,25.96,"266,916",26.71,25.77
Allstate Dep. Pfd. F,ALL.PF,26.07,"48,529",26.34,25.79
Allstate Dep 6.75% Pfd C,ALL.PC,25.70,"328,247",26.08,25.50
Allstate Pfd. Series A,ALL.PA,25.38,"68,507",25.99,25.11
Allstate Pfd. D,ALL.PD,25.88,"23,240",26.40,25.82
Ally Financial,ALLY,27.15,"10,773,207",27.23,26.03
Alpine Glbl Dynamic Div,AGD,10.50,"171,153",10.65,10.39
AlpnGlblPrProp,AWP,6.24,"1,138,124",6.26,6.15
Alpine Tot Dyn Div,AOD,8.94,"1,318,657",9.03,8.79
ALPS Emg Dividend Dogs,EDOG,24.88,"30,342",24.92,24.47
ALPS Equal Sector Weight,EQL,67.71,"11,503",67.93,66.50
ALPS Cohen Gbl Realty,GRI,42.58,"11,452",42.66,41.52
ALPS Intl Sector Div Dogs,IDOG,27.67,"174,214",27.72,27.19
ALPS Medical Breakthr,SBIO,34.23,"159,678",35.28,33.31
ALPS Sector Dividend Dogs,SDOG,43.66,"1,104,419",43.82,41.57
Alteryx Cl A,AYX,34.14,"1,791,177",37.70,33.17
Altice USA Cl A,ATUS,18.48,"10,142,041",18.87,17.58
Altria Group,MO,62.32,"32,554,773",63.15,59.10
Alum Corp. of China ADR,ACH,13.92,"332,954",13.96,13.28
Amber Road,AMBR,8.90,"240,500",9.01,8.34
Ambev ADR,ABEV,7.27,"73,371,027",7.29,7.03
AMC Entertainment Holding,AMC,14.05,"5,052,779",14.25,13.45
Ameren Corp,AEE,56.63,"6,409,969",56.79,54.10
Ameresco,AMRC,13.00,"1,231,198",13.20,11.70
America Movil ADR,AMX,19.09,"8,089,629",19.38,18.65
America Movil Cl A ADR,AMOV,19.00,"12,290",19.17,18.64
American Assets Trust,AAT,33.41,"2,195,022",34.23,31.79
American Axle&Mfg;,AXL,15.22,"8,684,295",15.83,14.76
Amer Campus Communities,ACC,38.62,"2,515,835",38.77,35.88
Amer Cent STOXX US Qual,VALQ,38.40,357,38.40,38.40
American Eagle Outfitters,AEO,19.93,"15,714,256",20.14,19.26
American Elec Power,AEP,68.59,"11,856,395",69.24,66.56
Amer Energy Independence,USAI,22.55,232,22.55,22.23
American Equity,AEL,29.36,"2,751,304",30.67,28.90
American Express,AXP,93.28,"17,465,651",94.37,90.80
American Financial Group,AFG,112.22,"1,256,425",113.29,109.97
Amer Finl 6% Deb. 2055,AFGH,25.98,"34,887",25.98,25.67
Amer Finl 6.25% Deb. 2054,AFGE,25.86,"48,538",26.00,25.61
Amer Homes 4 Rent Pfd G,AMH.PG,23.15,"12,908",23.17,22.90
Amer Homes 4 Rent Pfd F,AMH.PF,23.50,"32,463",23.66,23.35
Amer Homes 4 Rent Pfd E,AMH.PE,24.81,"48,565",25.10,24.63
Amer Homes 4 Rent Cl A,AMH,20.08,"5,941,111",20.26,19.02
Amer Homes 4 Rent Pfd. D,AMH.PD,25.01,"44,711",25.26,24.65
Amer Homes 4 Rent Pfd. C,AMH.PC,28.26,"40,106",28.40,28.17
American Intl Group,AIG,54.42,"24,950,906",55.00,53.45
American Intl Wt,AIG.WS,16.40,"584,129",17.01,15.77
Amer Midstream Partners,AMID,10.80,"942,631",10.95,9.65
American Realty Investors,ARL,19.38,"23,857",21.57,18.39
American Renal Associates,ARA,18.85,"2,462,320",22.21,16.61
American States Water,AWR,53.06,"1,880,839",54.00,51.68
American Tower REIT,AMT,145.34,"10,561,054",147.15,142.61
American Vanguard,AVD,20.20,"423,027",21.10,19.60
American Water Works,AWK,82.13,"3,672,559",82.54,78.89
Americold Realty Trust,COLD,19.08,"2,623,013",19.28,18.30
AmeriGas Partners,APU,39.97,"1,172,669",41.40,39.41
Ameriprise Financial,AMP,147.94,"4,500,105",151.54,145.00
AmerisourceBergen,ABC,86.21,"6,573,731",86.62,82.88
Ametek,AME,75.97,"4,116,013",77.01,74.52
Amira Nature Foods,ANFI,4.17,"229,242",4.39,4.04
AMN Healthcare,AMN,56.75,"1,852,248",58.63,56.55
Ampco-Pittsburgh,AP,8.90,"215,149",9.90,8.85
Amphenol Cl A,APH,86.13,"4,438,279",88.00,83.96
Amplify Trans Data,BLOK,19.13,"543,726",19.77,18.72
Amrep Corp,AXR,7.19,"25,051",7.40,7.15
AmTrust Finl Svs Pfd A,AFSI.PA,17.99,"46,725",19.15,17.50
AmTrust Finl Svs Nts 2055,AFSS,23.52,"53,823",23.55,22.94
AmTrust Finl 7.5% Nts 55,AFST,24.20,"35,917",24.43,23.99
AmTrust Finl Dep Pfd. F,AFSI.PF,18.18,"65,621",19.24,17.76
AmTrust Finl Svs Pfd. B,AFSI.PB,18.25,"60,179",19.61,17.90
AmTrust Dep. Pfd. C,AFSI.PC,18.89,"63,350",20.01,18.58
AmTrust Finl Dep Pfd E,AFSI.PE,20.98,"55,197",21.99,20.85
AmTrust Finl Dep. Pfd. D,AFSI.PD,18.94,"69,234",20.29,18.70
Anadarko Petroleum,APC,60.41,"21,824,594",63.05,58.75
Anadarko Petroleum Un,AEUA,29.80,"410,668",30.65,29.00
Andeavor,ANDV,100.56,"6,045,678",104.34,98.47
Andeavor Logistics,ANDX,44.81,"1,630,473",45.15,42.57
AngloGold Ashanti ADR,AU,9.49,"12,167,606",9.90,9.38
Anheuser-Busch InBev ADR,BUD,109.94,"8,631,249",110.98,106.43
Anixter Intl,AXE,75.75,"490,992",76.55,72.65
Annaly Capital Mgmnt,NLY,10.43,"34,674,118",10.66,10.22
Annaly Cap Pfd. G,NLY.PG,24.45,"599,721",24.50,24.00
Annaly Capital Pfd. F,NLY.PF,25.35,"277,684",25.39,25.14
Annaly Cap Mgmt Pfd. C,NLY.PC,25.47,"44,983",25.47,25.25
Annaly Cap Mgmt Pfd. D,NLY.PD,25.25,"149,650",25.28,25.04
Antero Midstream GP,AMGP,15.99,"2,457,726",16.33,15.62
Antero Midstream Partners,AM,25.89,"2,206,377",26.04,24.59
Antero Resources,AR,19.85,"13,089,710",19.92,18.98
Anthem,ANTM,219.70,"6,020,354",223.72,217.58
Anthem Corporate Un,ANTX,53.70,"1,676,742",54.60,53.43
Anworth Mortgage Asset,ANH,4.80,"3,897,267",4.96,4.76
Anworth Mtg Pfd. B,ANH.PB,25.31,"2,765",25.50,25.31
Anworth 7.625% Pfd C,ANH.PC,24.74,"33,591",25.05,24.46
Anworth Mtge Asset Pfd A,ANH.PA,25.70,"8,665",25.99,25.60
Aon PLC,AON,140.33,"4,449,540",141.98,137.92
Apache Corp,APA,38.48,"23,958,917",38.62,36.15
Apartment Inv&Mgmnt;,AIV,40.75,"4,494,621",41.04,38.71
Apartment Inv 6.875 Pfd A,AIV.PA,25.88,"8,464",26.30,25.75
Apollo Comml R E Fin,ARI,17.98,"7,792,839",18.29,17.77
Apollo Commercial Pfd C,ARI.PC,25.44,"38,487",25.74,25.15
Apollo Gl 6.375% Pfd. B,APO.PB,24.90,"826,148",24.95,24.74
Apollo Gl Mgmt Pfd. A,APO.PA,25.05,"142,127",25.08,24.82
Apollo Global Mgmt A,APO,29.62,"4,068,987",30.75,29.19
Apollo Inv Nts 2043,AIY,25.34,"22,684",25.69,25.24
Apollo Sr Fltg Rate Fd,AFT,16.83,"986,350",16.86,16.56
Apollo Tactical Incm Fd,AIF,15.70,"207,659",15.75,15.56
Apple Hospitality REIT,APLE,17.57,"6,189,294",17.62,16.88
Applied Indl Techs,AIT,72.90,"756,746",73.55,70.65
Aptargroup,ATR,89.83,"1,000,280",90.34,87.07
Aptiv,APTV,84.97,"7,558,117",86.79,82.31
Aqua America,WTR,34.06,"2,740,847",34.16,32.65
Aquantia,AQ,15.70,"1,763,440",17.25,14.68
AquaVenture Holdings,WAAS,12.42,"350,367",13.04,12.38
Aramark,ARMK,39.56,"5,781,667",40.25,38.26
Arbor Realty Trust,ABR,8.82,"1,733,161",8.84,8.70
Arbor Realty TNts 051521,ABRN,25.29,"30,828",25.29,25.26
Arbor Realty 7.75% Pfd. B,ABR.PB,25.25,"2,271",25.25,25.08
Arbor Realty 8.5% Pfd C,ABR.PC,25.86,"1,585",25.97,25.71
Arbor Realty 8.25% Pfd. A,ABR.PA,25.52,"13,016",25.53,25.20
ARC Document Solutions,ARC,2.20,"489,056",2.35,2.16
ArcelorMittal ADR,MT,31.81,"17,827,650",32.06,30.05
Arch Coal,ARCH,91.88,"1,000,694",93.99,87.67
Archer Daniels Midland,ADM,43.37,"13,739,238",43.60,42.17
Archrock,AROC,8.75,"4,703,976",9.20,8.65
Arconic,ARNC,23.04,"11,187,758",23.52,22.58
Arcos Dorados Holdings A,ARCO,9.15,"3,755,130",9.35,8.50
Arcus Biosciences,RCUS,15.44,"796,929",16.80,14.81
Ardagh Group Cl A,ARD,18.68,"307,303",19.09,18.10
Ardmore Shipping,ASC,7.60,"498,562",8.00,7.55
Ares Commercial Real Est,ACRE,12.35,"383,813",12.56,12.17
Ares Dynamic Credit Alloc,ARDC,16.24,"242,661",16.42,16.16
Ares Management,ARES,21.40,"3,402,063",22.07,20.50
Ares Mgmt Pfd. Un A,ARES.PA,26.13,"73,858",26.50,26.07
Argan,AGX,42.95,"1,212,358",44.88,37.75
Arista Networks,ANET,255.30,"5,457,382",274.95,243.17
ARK Genomic Revolution,ARKG,25.75,"412,764",27.69,25.05
ARK Indl Innovation ETF,ARKQ,32.86,"179,412",34.55,32.02
ARK Innovation ETF,ARKK,39.07,"1,934,216",41.90,37.93
ARK Web x.0 ETF,ARKW,49.88,"1,371,111",53.11,48.36
Arlington Asset Nts 23,AIW,24.30,"2,310",24.44,24.30
Arlington Asset Nts 25,AIC,23.50,"13,725",23.83,23.43
Arlington Asset Pfd. B,AI.PB,24.82,"10,901",24.85,24.72
Arlington Asset Inv Cl A,AI,11.04,"3,619,399",11.79,10.75
Armada Hoffler Properties,AHH,13.69,"1,556,078",13.78,12.94
Armour Residential REIT,ARR,23.28,"1,646,141",23.40,22.56
Armour REIT 7.875% Pfd. B,ARR.PB,24.77,"70,763",24.85,24.61
Armour Residential Pfd. A,ARR.PA,25.28,"9,391",25.29,25.06
Armstrong Flooring,AFI,13.57,"464,696",13.88,13.23
Armstrong Wrld Ind,AWI,56.30,"1,004,164",57.30,55.65
Arrow Dogs of the World,DOGS,49.39,"3,027",49.59,47.13
Arrow Dow Jones Glbl Yd,GYLD,17.10,"58,034",17.47,17.00
Arrow Electronics,ARW,77.02,"2,710,704",78.60,74.94
Artisan Ptrs Asset Mgmt,APAM,33.30,"1,169,686",34.15,32.60
ASA Gold&Prec; Metals,ASA,10.42,"347,117",10.64,10.23
Asbury Automotive,ABG,67.50,"647,439",67.80,63.95
Ashford Hospitality Prime,AHP,9.72,"1,065,881",9.95,9.22
Ashford Hospitality Pfd B,AHP.PB,19.27,"9,038",19.62,19.27
Ashford 7.375% Pfd. G,AHT.PG,23.10,"65,434",23.69,23.07
Ashford Hospitality Pfd H,AHT.PH,23.28,"55,018",23.89,23.15
Ashford Hospitality Pfd I,AHT.PI,23.39,"69,289",23.96,23.27
Ashford Hospitality Trust,AHT,6.46,"2,334,240",6.58,6.16
Ashford Hospitality Pfd D,AHT.PD,25.21,"29,320",25.67,25.06
Ashford Hospitality Pfd F,AHT.PF,23.26,"31,521",23.87,23.25
Ashland Global Holdings,ASH,69.79,"3,251,778",70.18,68.48
Asia Pacific Fund,APB,14.80,"22,693",14.80,14.00
Asia Tigers Fund,GRR,12.58,"13,414",12.74,12.48
Aspen Aerogels,ASPN,4.27,"307,731",4.37,4.18
Aspen insurance,AHL,44.85,"5,192,926",46.10,42.08
Aspen Ins 5.625% Pfd.,AHL.PD,24.73,"119,706",24.92,24.40
Aspen Ins Hldgs Pfd,AHL.PC,26.21,"72,959",26.46,25.97
Assd Banc Dep. Pfd. D,ASB.PD,24.97,"20,651",24.97,24.72
Assd Banc Perp. Pfd. C,ASB.PC,26.03,"10,368",26.15,25.91
Associated Banc,ASB,24.85,"4,930,657",25.40,24.35
Assd Capital Cl A,AC,37.45,"39,089",37.45,34.85
Assurant,AIZ,91.41,"2,157,743",91.86,88.37
Assurant Pfd. Series D,AIZP,104.15,"229,452",105.00,100.60
Assured Guaranty,AGO,36.20,"5,140,986",37.04,35.31
Assrd Grty Mun Hldg 5.6%,AGO.PF,24.76,"13,142",25.29,24.66
Assrd Grty Mun Hldg 6.25%,AGO.PE,25.35,"17,438",25.37,25.26
Assrd Grty Mun Hdg 6.875%,AGO.PB,25.91,"20,493",25.93,25.48
AstraZeneca ADR,AZN,34.97,"16,813,270",35.53,34.29
AT&T;,T,35.65,"122,890,666",35.89,34.44
AT&T; 5.35% Nts 2066,TBB,25.40,"837,097",25.53,25.11
A10 Networks,ATEN,5.82,"1,595,833",5.94,5.64
Atento,ATTO,7.80,"419,256",8.30,7.60
Athene Holding,ATH,47.81,"5,884,548",49.67,47.33
At Home Group,HOME,32.04,"7,369,770",33.06,29.22
Atkore International,ATKR,19.85,"1,236,167",19.96,19.25
Atlantic Power,AT,2.10,"1,475,129",2.20,2.10
Atmos Energy,ATO,84.24,"3,033,267",84.46,79.49
AU Optronics ADR,AUO,4.57,"3,461,556",4.74,4.49
Autohome ADR,ATHM,85.94,"2,623,849",89.50,82.56
Autoliv,ALV,145.94,"2,519,688",150.15,142.06
AutoNation,AN,46.78,"3,786,281",47.42,45.75
AutoZone,AZO,648.69,"1,531,362",655.07,631.02
Avalonbay Communities,AVB,164.46,"2,949,465",165.44,156.40
Avangrid,AGR,51.12,"1,673,614",51.50,49.28
Avaya Holdings,AVYA,22.40,"3,601,448",23.06,22.27
Avery Dennison,AVY,106.25,"3,153,174",107.03,102.55
Avianca Holdings ADR,AVH,8.47,"478,062",8.93,8.45
Avista,AVA,51.25,"1,689,458",52.04,51.08
Avnet Inc,AVT,41.76,"2,442,244",42.28,40.84
Avon Products,AVP,2.84,"13,051,257",2.91,2.74
AVX Corp,AVX,16.55,"521,598",16.95,16.25
Axalta Coating Systems,AXTA,30.19,"9,104,581",31.00,29.92
AXIS Capital Holdings,AXS,57.57,"4,251,662",58.26,55.27
AXIS Capital Pfd. E,AXS.PE,24.60,"187,273",24.97,24.52
AXIS Capital Pfd. D,AXS.PD,24.83,"29,720",24.96,24.67
Azul ADR,AZUL,34.75,"1,396,053",35.05,33.35
Azure Power Global,AZRE,13.25,"264,134",14.04,13.11
AZZ,AZZ,43.70,"450,940",43.95,42.00
Babcock&Wilcox; Ents,BW,4.37,"4,854,390",4.49,4.21
Badger Meter,BMI,47.15,"385,011",47.90,45.85
Baker Hughes GE,BHGE,27.77,"23,859,828",30.37,27.66
Ball Corp,BLL,39.71,"9,115,200",39.92,38.81
Banco Bilbao Vizcaya ADR,BBVA,7.90,"14,897,449",7.97,7.63
Banco Bradesco Ord ADR,BBDO,11.66,"7,214",11.66,10.59
Banco Bradesco Pref ADR,BBD,11.88,"29,003,790",11.97,11.26
Banco de Chile ADR,BCH,100.58,"139,759",102.11,97.80
Banc of California,BANC,19.30,"2,289,971",19.60,18.65
Banc of CA Dep. Pfd. C,BANC.PC,25.75,"12,721",25.77,25.61
Banc of California Pfd E,BANC.PE,25.90,"18,797",26.14,25.49
Banc of CA Dep. Pfd. D,BANC.PD,26.20,"16,582",26.55,26.11
Banco Latinamer,BLX,28.50,"354,305",28.84,27.64
BanColombia ADR,CIB,42.02,"2,119,369",43.06,41.58
Banco Macro ADR,BMA,107.97,"425,304",110.78,106.17
BancorpSouth Bank,BXS,31.80,"3,437,981",32.30,31.05
Banco Sant Brasil ADR,BSBR,12.02,"6,268,968",12.05,11.14
Banco Santander ADR,BSAC,33.51,"1,145,473",33.68,31.82
Banco Santander ADR,BSMX,7.17,"2,552,894",7.22,6.79
Banco Santander Pfd. 1,SAN.PI,25.55,"13,995",25.70,25.41
Banco Santander Pfd. 5,SAN.PC,26.00,"49,920",26.02,25.55
Banco Santander ADR,SAN,6.55,"35,801,230",6.59,6.41
Banco Santander Pfd. 4,SAN.PA,25.91,"29,606",25.91,25.60
Banco Santander Pfd. 6,SAN.PB,24.80,"25,825",24.80,24.54
B&G; Foods,BGS,23.70,"6,507,107",25.80,23.43
Bank of America,BAC,29.99,"310,822,984",30.67,29.01
Bank of America 7.25%,BAC.PL,1289.45,"11,327",1297.22,1272.18
Bank of America Cl A Wt,BAC.WS.A,18.17,"1,512,320",18.90,17.34
Bank of America Cl B Wt,BAC.WS.B,1.99,"3,213,502",2.50,1.70
BofA Dep. Pfd. Series Y,BAC.PY,26.40,"275,816",26.81,26.26
Bank of America Dep pfd D,BAC.PD,25.49,"100,006",25.51,25.45
Bank of America Dep pfd I,BAC.PI,25.73,"91,947",25.80,25.67
Bank of America Pfd E,BAC.PE,23.53,"47,894",23.70,23.41
BoA Pfd. Series CC,BAC.PC,26.02,"234,809",26.50,26.00
Bk of America Dep Pfd W,BAC.PW,26.21,"219,509",26.34,26.15
Bank of America Pfd EE,BAC.PA,25.95,"218,343",26.35,25.89
Bank of America Dep pfd G,BML.PG,22.24,"29,092",22.36,21.86
Bank of America Dep pfd 2,BML.PH,22.07,"46,363",22.17,21.75
Bank of Am Dep pfd ser 3,BML.PI,25.56,"64,936",25.60,25.50
Bank of Am Dep ser 4,BML.PJ,23.91,"50,659",23.99,23.46
Bank of America Pfd L,BML.PL,23.49,"64,479",23.63,23.34
Bank of Butterfield,NTB,44.88,"857,885",45.72,44.04
Bank of Hawaii,BOH,83.10,"778,129",83.55,80.91
Bank of Montreal,BMO,75.57,"1,567,344",76.07,74.25
Bk of NY Mellon,BK,51.53,"21,356,011",52.29,50.11
BNY Mellon 5.2% Pfd. C,BK.PC,25.20,"113,770",25.20,25.01
Bank Of Nova Scotia,BNS,61.70,"3,506,259",62.02,60.40
BankUnited,BKU,39.98,"3,468,104",40.59,39.02
iPath S&P; 500 VIX MT Fut,VXZ,21.91,"1,323,423",22.88,21.22
iPath S&P; 500 VIX ST Fut,VXX,47.31,"153,891,478",52.31,46.13
Barclays iPath B Crude,OILB,63.83,"29,902",65.14,63.78
Barclays ETN+ FI EnhEur50,FEEU,123.65,"483,521",124.06,119.66
Barclays ETN FI Enh Eur50,FLEU,146.80,"4,870",148.50,143.94
Barclays ETN FI Eur 50,FFEU,99.00,"602,365",99.51,95.34
Barclys ETN+ FI Enh Gl HY,FIGY,161.61,"1,268,062",161.61,156.49
Barclays ETN FI Enh HY B,FIYY,96.75,"2,122,168",99.64,93.65
S&P; VEQTOR,VQT,163.94,"1,088",164.32,163.93
Barclays ETN+ Select MLP,ATMP,18.34,"309,341",18.42,17.98
Barclays ETN+ Shil CAPE,CAPE,116.85,"18,938",116.88,112.17
Barclays ADR,BCS,11.82,"22,510,296",11.97,11.64
Barclays ADR Pfd Ser 5,BCS.PD,26.33,"460,835",26.56,26.31
Barc Women in Leadership,WIL,63.92,418,63.92,63.92
Barings Corp Investors,MCI,15.10,"90,063",15.16,14.84
Barings Glbl Short Dur HY,BGH,18.66,"301,392",18.66,18.36
Barings Part Investors,MPV,14.70,"43,817",14.76,14.48
Barnes&Noble; Education,BNED,6.89,"1,135,689",6.95,6.36
Barnes&Noble;,BKS,4.95,"3,493,022",5.10,4.80
Barnes Group,B,59.89,"753,995",60.85,58.64
Barrick Gold,ABX,12.45,"42,862,655",12.79,12.23
Barron's 400 ETF,BFOR,41.65,"100,653",41.87,40.77
Basic Energy Services,BAS,14.44,"1,406,944",15.10,14.02
Baxter International,BAX,65.04,"13,750,840",66.14,63.84
Baytex Energy,BTE,2.74,"6,044,424",2.97,2.63
BB&T; Corp,BBT,52.04,"19,391,364",53.40,50.95
BB&T; Pfd. F,BBT.PF,24.98,"92,233",25.01,24.81
BB&T; Pfd. G,BBT.PG,25.00,"87,058",25.11,24.83
BB&T; Pfd. E,BBT.PE,25.13,"243,474",25.14,24.96
BB&T; Dep. Pfd. Series H,BBT.PH,26.61,"93,901",26.61,26.26
BB&T; Pfd. D,BBT.PD,25.39,"78,641",25.41,25.25
